İş Emri No;Operasyon Kodu;Tesis Kodu;Tesis Adı;Üretim Tarihi;Gün Adı;Hat Kodu;Hat Tanımı;Operasyon Tanımı;Fire Miktar (Bobin);Üretim Miktarı (Bobin);Setup Süresi (Saat);Bakım Duruşu (Saat);Arıza Duruşu (Saat);Plansız Duruş (Saat);Operasyon Süresi (Saat);Operasyon Hızı (m/dk);Operatör Adı Soyadı;Operatör Sicil No;Üretim Yılı;Üretim Ayı;İzolasyon Cinsi;Ürün Kodu;Ürün Açıklaması;Üretim Zorluk Derecesi;Malzeme Kodu;Malzeme Açıklaması;Kaliteli Bobin Adedi;Kaliteli Toplam Metraj;Kaliteli Toplam m²;Fire Bobin Adedi;Fire Toplam Metraj;Fire Toplam m²;Günlük İş Emri Sayısı;Parti Sayısı;Hat Başına İş Emri;Hat Günlük İş Emri;Ortalama Çekim Miktarı;Ortalama Setup Süresi (Saat);Hat Nominal Hızı (m/dk);Bakım Açıklaması;Arıza Açıklaması;Kullanım Oranı (%);Performans Oranı (%);Kalite Oranı (%);OEE Değeri (%)
WO-202506-10000;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;İLETKEN TEL ÇEKİM;0.0;17.0;0.638;2.599;0.0;0.0;0.506;126.2;MEHMET DEMİR;OPR-1002;2025;6;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;2;CU-ETP;Elektrolitik Bakır;16;3829;30.63;0;171;1.37;1;1;1;1;17.0;0.6;120;Planlı Bakım (Pazartesi Sabah Periyodu);;18.3;100.0;94.73;17.34
WO-202506-10001;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;1.0;23.5;0.842;0.0;0.0;0.0;0.906;74.8;MEHMET DEMİR;OPR-1002;2025;6;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;3;CU-ETP;Elektrolitik Bakır;21;4065;101.62;1;335;8.38;1;1;1;1;23.5;0.8;80;;;19.91;100.0;89.95;17.91
WO-202506-10002;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;ÇELİK ZIRH SARMAL;4.5;38.6;0.882;0.0;0.0;0.0;1.377;67.1;ALİ KAYA;OPR-1005;2025;6;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;4;AL-1350;Alüminyum Alaşım;37;5544;138.6;5;756;18.9;1;1;1;1;38.6;0.9;80;;;29.11;77.16;83.41;18.74
WO-202506-10003;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;DOLGU KAPLAMA;0.9;14.4;1.163;0.0;0.0;0.471;0.276;74.4;ALİ KAYA;OPR-1005;2025;6;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;AL-1350;Alüminyum Alaşım;13;1232;30.8;1;168;4.2;1;1;1;1;14.4;1.2;90;;;17.21;90.25;87.77;13.63
WO-202506-10004;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2004;Kombine Extruder Hattı Theta;İLETKEN TEL ÇEKİM;0.0;11.4;1.028;2.169;0.0;0.0;0.392;111.8;MEHMET DEMİR;OPR-1002;2025;6;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;2;CU-ETP;Elektrolitik Bakır;11;2631;52.62;0;119;2.38;1;1;1;1;11.4;1.0;110;Planlı Bakım (Pazartesi Sabah Periyodu);;24.95;100.0;91.79;22.9
WO-202506-10005;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;DIŞ KILIF SIVAMA;2.2;36.1;0.889;0.0;0.0;0.0;1.155;69.4;ALİ KAYA;OPR-1005;2025;6;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;4;AL-1350;Alüminyum Alaşım;33;4807;120.18;2;443;11.08;1;1;1;1;36.1;0.9;80;;;26.2;81.5;88.31;18.86
WO-202506-10006;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;İLETKEN TEL ÇEKİM;1.9;52.5;0.668;0.0;0.0;0.0;0.889;129.5;AHMET YILMAZ;OPR-1001;2025;6;Kauçuk;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;3;CU-ETP;Elektrolitik Bakır;47;6904;55.23;2;446;3.57;1;1;1;1;52.5;0.7;120;;;19.71;100.0;93.76;18.48
WO-202506-10007;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;İZOLASYON EKSTRÜZYON;2.2;16.4;0.825;0.0;1.931;0.0;0.532;59.1;SÜLEYMAN KOÇ;OPR-2005;2025;6;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;AL-1350;Alüminyum Alaşım;19;1885;47.12;2;215;5.38;1;1;1;1;16.4;0.8;80;;Anlık Arıza (Standart Extruder Hattı Beta - Orta Risk);15.63;73.66;84.52;9.73
WO-202506-10008;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;ÇELİK ZIRH SARMAL;1.1;29.3;0.842;0.0;0.0;0.0;1.84;49.9;MEHMET DEMİR;OPR-1002;2025;6;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;2;CU-ETP;Elektrolitik Bakır;28;5511;82.66;1;289;4.33;1;1;1;1;29.3;0.8;50;;;30.48;92.97;94.86;26.89
WO-202506-10009;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;İLETKEN TEL ÇEKİM;0.9;8.7;0.972;0.0;0.0;0.0;0.306;79.6;ALİ KAYA;OPR-1005;2025;6;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;4;AL-1350;Alüminyum Alaşım;10;1462;36.55;1;188;4.7;1;1;1;1;8.7;1.0;90;;;16.75;81.18;86.17;11.72
